source,path,shape,dtype,size,min,max,mean,sum,sha256
DataBase\data\120\120.binary.bgData,BG_SETUP/CHARTS/CHART_ENGINE/CHARTS_MASTER/SAMPLE_SIZE,[1],int32,1,1000.0,1000.0,1000.0,1000.0,79ff7fbc96a0a6111e3c2706d61deb84c7c8e5a137b776f34a7dc3775f3652de
DataBase\data\120\120.binary.bgData,BG_SETUP/CHARTS/CHART_ENGINE/HISTOGRAM/AutoScale,[1],uint8,1,0.0,0.0,0.0,0.0,6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d
DataBase\data\120\120.binary.bgData,BG_SETUP/Capture/RIBBON_VISIBILITY_CAMERAOFFSET_RIBBONBAR_PRIVILEGE,[1],|S7,1,,,,,8411f5abb4c710b176d8f28c735f55a5f1e1ac648a8a48432ce4c10014a9bb91
DataBase\data\120\120.binary.bgData,BG_SETUP/Capture/RIBBON_VISIBILITY_CAPTURE_PRIVILEGE,[1],|S7,1,,,,,8411f5abb4c710b176d8f28c735f55a5f1e1ac648a8a48432ce4c10014a9bb91
DataBase\data\120\120.binary.bgData,BG_SETUP/Capture/RIBBON_VISIBILITY_FRAMEBUFFERSIZE_PRIVILEGE,[1],|S7,1,,,,,8411f5abb4c710b176d8f28c735f55a5f1e1ac648a8a48432ce4c10014a9bb91
DataBase\data\120\120.binary.bgData,BG_SETUP/Capture/RIBBON_VISIBILITY_FRAMECOMMENT_PRIVILEGE,[1],|S7,1,,,,,8411f5abb4c710b176d8f28c735f55a5f1e1ac648a8a48432ce4c10014a9bb91
DataBase\data\120\120.binary.bgData,BG_SETUP/Capture/RIBBON_VISIBILITY_REFERENCE_PRIVILEGE,[1],|S7,1,,,,,8411f5abb4c710b176d8f28c735f55a5f1e1ac648a8a48432ce4c10014a9bb91
DataBase\data\120\120.binary.bgData,BG_SETUP/Capture/RIBBON_VISIBILITY_SMEAR_CORRECTION_PRIVELEGE,[1],|S9,1,,,,,b322b65227bc3ec948893e32aa98f227417327069e191d79107a2736a7b2f980
DataBase\data\120\120.binary.bgData,BG_SETUP/Capture/RIBBON_VISIBILITY_SOURCERATE_PRIVILEGE,[1],|S7,1,,,,,8411f5abb4c710b176d8f28c735f55a5f1e1ac648a8a48432ce4c10014a9bb91
DataBase\data\120\120.binary.bgData,BG_SETUP/Capture/RIBBON_VISIBILITY_SUMMINGAVERAGE_RIBBONBAR_PRIVILEGE,[1],|S7,1,,,,,8411f5abb4c710b176d8f28c735f55a5f1e1ac648a8a48432ce4c10014a9bb91
DataBase\data\120\120.binary.bgData,BG_SETUP/Capture/RIBBON_VISIBILITY_WRITEPROTECT_PRIVILEGE,[1],|S7,1,,,,,8411f5abb4c710b176d8f28c735f55a5f1e1ac648a8a48432ce4c10014a9bb91
DataBase\data\120\120.binary.bgData,BG_SETUP/Charts/RIBBON_VISIBILITY_CHARTS_PRIVILEGE,[1],|S7,1,,,,,8411f5abb4c710b176d8f28c735f55a5f1e1ac648a8a48432ce4c10014a9bb91
DataBase\data\120\120.binary.bgData,BG_SETUP/Charts/RIBBON_VISIBILITY_HISTOGRAM_PRIVILEGE_CONTROL,[1],|S7,1,,,,,8411f5abb4c710b176d8f28c735f55a5f1e1ac648a8a48432ce4c10014a9bb91
DataBase\data\120\120.binary.bgData,BG_SETUP/Charts/RIBBON_VISIBILITY_POSITIONAL_STABILITY_PRIVILEGE_CONTROL,[1],|S7,1,,,,,8411f5abb4c710b176d8f28c735f55a5f1e1ac648a8a48432ce4c10014a9bb91
DataBase\data\120\120.binary.bgData,BG_SETUP/Charts/RIBBON_VISIBILITY_STRIPCHART_PRIVILEGE_CONTROL,[1],|S7,1,,,,,8411f5abb4c710b176d8f28c735f55a5f1e1ac648a8a48432ce4c10014a9bb91
DataBase\data\120\120.binary.bgData,BG_SETUP/Computations/RIBBON_VISIBILITY_BEAMWIDTH_PRIVILEGE,[1],|S7,1,,,,,8411f5abb4c710b176d8f28c735f55a5f1e1ac648a8a48432ce4c10014a9bb91
DataBase\data\120\120.binary.bgData,BG_SETUP/Computations/RIBBON_VISIBILITY_COMPUTATIONS_PRIVILEGE,[1],|S7,1,,,,,8411f5abb4c710b176d8f28c735f55a5f1e1ac648a8a48432ce4c10014a9bb91
DataBase\data\120\120.binary.bgData,BG_SETUP/Computations/RIBBON_VISIBILITY_DIVERGENCE_PRIVILEGE,[1],|S7,1,,,,,8411f5abb4c710b176d8f28c735f55a5f1e1ac648a8a48432ce4c10014a9bb91
DataBase\data\120\120.binary.bgData,BG_SETUP/Computations/RIBBON_VISIBILITY_PASS_FAIL,[1],|S7,1,,,,,8411f5abb4c710b176d8f28c735f55a5f1e1ac648a8a48432ce4c10014a9bb91
DataBase\data\120\120.binary.bgData,BG_SETUP/Computations/RIBBON_VISIBILITY_POWERENERGY_PRIVILEGE,[1],|S7,1,,,,,8411f5abb4c710b176d8f28c735f55a5f1e1ac648a8a48432ce4c10014a9bb91
DataBase\data\120\120.binary.bgData,BG_SETUP/Computations/RIBBON_VISIBILITY_SCALING_PRIVILEGE,[1],|S7,1,,,,,8411f5abb4c710b176d8f28c735f55a5f1e1ac648a8a48432ce4c10014a9bb91
DataBase\data\120\120.binary.bgData,BG_SETUP/Computations/RIBBON_VISIBILITY_STATISTICS_PRIVILEGE,[1],|S7,1,,,,,8411f5abb4c710b176d8f28c735f55a5f1e1ac648a8a48432ce4c10014a9bb91
DataBase\data\120\120.binary.bgData,BG_SETUP/DATA_SOURCE_MANAGER/AUTOX/ENABLED,[1],uint8,1,1.0,1.0,1.0,1.0,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a
DataBase\data\120\120.binary.bgData,BG_SETUP/DATA_SOURCE_MANAGER/AUTOX/ON,[1],uint8,1,0.0,0.0,0.0,0.0,6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d
DataBase\data\120\120.binary.bgData,BG_SETUP/DATA_SOURCE_MANAGER/BLOOMING_CORRECTION/ENABLED,[1],uint8,1,0.0,0.0,0.0,0.0,6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d
DataBase\data\120\120.binary.bgData,BG_SETUP/DATA_SOURCE_MANAGER/BLOOMING_CORRECTION/WAVELENGTH,[1],int32,1,1.0,1.0,1.0,1.0,67abdd721024f0ff4e0b3f4c2fc13bc5bad42d0b7851d456d88d203d15aaa450
DataBase\data\120\120.binary.bgData,BG_SETUP/DATA_SOURCE_MANAGER/CAPTURE/FRAME_PRIORITY,[1],uint8,1,1.0,1.0,1.0,1.0,4bf5122f344554c53bde2ebb8cd2b7e3d1600ad631c385a5d7cce23c7785459a
