z_mm,baseline_d4x_um,baseline_d4y_um,baseline_ellipticity,robust_d4x_um,robust_d4y_um,robust_ellipticity,point_d4x_um,point_d4y_um,point_ellipticity
228.0,932.2738882749384,605.0589534116631,1.5407984346289783,757.579238801262,605.0589534116631,1.2520750821545632,722.7988264134758,605.0589534116631,1.194592398538901
228.5,926.6714756484491,593.9622032103392,1.5601522632918916,743.4902840006622,593.9622032103392,1.2517467946312584,699.2544987809521,593.9622032103392,1.1772710367789612
229.0,921.4578208763271,583.4608844951625,1.5792966510062028,730.1541632523066,583.4608844951625,1.2514192170466918,676.6157260651395,583.4608844951625,1.1596591031986299
229.5,916.6395575035464,573.5877019112321,1.598080911514042,717.6128497989507,573.5877019112321,1.2510952508357787,654.9764144948001,573.5877019112321,1.141894103224974
230.0,912.2229507959764,564.3756222466324,1.6163401019424872,705.9087070217164,564.3756222466324,1.2507781682909649,634.438840569227,564.3756222466324,1.124142885625873
230.5,908.2138604921269,555.8575153249907,1.633896880860063,695.0840261955213,555.8575153249907,1.2504715813532354,615.1133695455974,555.8575153249907,1.1066025961454562
231.0,904.6177047093317,548.0657395375167,1.650564228796148,685.18049057594,548.0657395375167,1.2501793875204223,597.117700673163,548.0657395375167,1.0895001413097607
231.5,901.4394254799487,541.0316770031785,1.6661490700010395,676.2385719775234,541.0316770031785,1.2499056907781585,580.575503800517,541.0316770031785,1.0730896701213046
232.0,898.6834563950385,534.785227302954,1.6804567712674259,668.2968712818573,534.785227302954,1.2496546971804616,565.6143198874972,534.785227302954,1.0576476144264895
232.5,896.353692823943,529.3542729747317,1.6932964152472796,661.391420015896,529.3542729747317,1.2494305870040026,552.3626328807195,529.3542729747317,1.0434649554762092
233.0,894.4534651576788,524.7641341081487,1.7044866579493423,655.5549657708132,524.7641341081487,1.2492373681081448,540.9460912481002,524.7641341081487,1.0308366294267675
233.5,892.9855154919991,521.037032974123,1.7138618926849845,650.8162691524432,521.037032974123,1.2490787179512546,531.4829678953296,521.037032974123,1.020048354071073
